Company Name,Location,Industry,Founded,Headquarters,CEO,Employees Number
Olam Group,"Singapore, Singapore","Food, Drink & Tobacco",1989,Singapore,Sunny George Verghese,"81,650"
Popular,"San Juan, United States",Banking,1893,San Juan,Ignacio Alvarez,"8,351"
Wuxi Apptec,"Shanghai, China",Drugs & Biotechnology,2000,Shanghai,"Edward Hu, Ge Li","34,912"
Dongguan Rural Commercial Bank,"Dongguan, China",Banking,1952,Dongguan,"7,962",
Dassault Aviation,"Paris, France",Aerospace & Defense,1911,Paris,Éric Trappier,"12,371"
Banco de Sabadell,"Alicante, Spain",Banking,1881,Alicante,César González-Bueno,"20,070"
Yara International,"Oslo, Norway",Chemicals,2003,Oslo,Svein Tore Holsether,"16,757"
Grupo Inbursa,"Mexico City, Mexico",Banking,1985,Mexico City,Javier Foncerrada Izquierdo,"11,441"
Universal Health Services,"King of Prussia, Pennsylvania",Healthcare & Social,1979,"King of Prussia, Pennsylvania",Marc D. Miller,"89,000"
Dick's Sporting Goods,"Coraopolis, Pennsylvania",Retail and Wholesale,1948,"Coraopolis, Pennsylvania",Lauren R. Hobart,"50,800"
Copart,"Dallas, Texas",Business Services & Supplies,1982,"Dallas, Texas",Aaron Jayson Adair,"8,600"
Jiangsu Hengrui Medicine,"Lianyungang, China",Drugs & Biotechnology,1970,Lianyungang,Yun Shu Zhou,"28,903"
Vienna Insurance Group,"Vienna, Austria",Insurance,1824,Vienna,Elisabeth Stadler,"25,736"
Canadian Tire,"Toronto, Canada",Retail and Wholesale,1922,Toronto,Greg Hicks,"31,786"
New Hope Liuhe,"Chengdu, China","Food, Drink & Tobacco",1998,Chengdu,Ming Gui Zhang,"95,993"
Chongqing Changan Auto,"Chongqing, China",Consumer Durables,1996,Chongqing,Hua Rong Zhu,"40,298"
Sichuan Road & Bridge,"Chengdu, China",Construction,Chengdu,China,"13,763",
KPN,"Rotterdam, Netherlands",Telecommunications Services,1989,Rotterdam,Joost F. E. Farwerck,"9,699"
Kohl's,"Menomonee Falls, Wisconsin",Retail and Wholesale,1962,"Menomonee Falls, Wisconsin",Michelle Gass,"99,000"
Mitsui Chemicals,"Tokyo, Japan",Chemicals,1997,Tokyo,Osamu Hashimoto,"18,051"
Raizen,"Rio de Janeiro, Brazil",Retailing,Rio de Janeiro,Brazil,"29,350",
Midea Real Estate Holding,"Foshan City, China",Construction,2017,Foshan City,"14,413",
Israel Discount Bank,"Tel Aviv, Israel",Banking,1935,Tel Aviv,Uri Levin,"8,899"
Sharp,"Sakai, Japan",Consumer Durables,1912,Sakai,Bo Xun Wu,"50,478"
Akbank,"Istanbul, Turkey",Banking,1948,Istanbul,Hakan Binbasgil,"12,459"
Metro,"Montréal, Canada",Food Markets,1947,Montréal,Eric Richer la Flèche,"90,000"
Bangkok Bank,"Bangkok, Thailand",Banking,1993,Bangkok,Deja Tulananda,
Wuchan Zhongda Group,"Hangzhou, China",Trading Companies,Hangzhou,China,"20,322",
China Gas Holdings,"Hong Kong, Hong Kong",Utilities,1995,Hong Kong,Ming Hui Liu,"59,462"
Old Dominion Freight Line,"Thomasville, North Carolina",Transportation and Logistics,1934,"Thomasville, North Carolina",Greg C. Gantt,"24,000"
Western Alliance Bancorp.,"Phoenix, Arizona",Banking,1995,"Phoenix, Arizona",Kenneth A. Vecchione,"3,139"
Guangzhou R&F,"Guangzhou, China",Construction,1994,Guangzhou,Li Zhang,"60,325"
Eurofins Scientific Societe Europeenne,"Luxembourg, Luxembourg",Health Care Equipment & Services,2012,Luxembourg,Gilles G. Martin,"57,992"
Shanxi Xinghuacun Fen Wine Factory,"Luliang, China","Food, Drink & Tobacco",Luliang,China,"12,614",
Royal Mail,"London, United Kingdom",Transportation,2013,London,Simon Thompson,"174,812"
Bank of Greece,"Athens, Greece",Banking,1927,Athens,Konstantinos Panteli Michalidis,"1,882"
Bank Of Guiyang,"Guiyang, China",Banking,1997,Guiyang,Zong Quan Chen,"6,594"
Kobe Steel,"Kobe, Japan",Materials,1905,Kobe,Mitsugu Yamaguchi,"40,517"
Arkema,"Colombes, France",Chemicals,2003,Colombes,Thierry le Hénaff,"20,030"
Datang International Power,"Beijing, China",Utilities,1994,Beijing,Yong Pan Liang,"33,483"
Hologic,"Marlborough, Massachusetts",Health Care Equipment & Services,1985,"Marlborough, Massachusetts",Stephen P. MacMillan,"6,705"
Lundbergs,"Stockholm, Sweden",Diversified Financials,1944,Stockholm,Lars Fredrik Elis Lundberg,"3,259"
Nippon Paint,"Osaka, Japan",Chemicals,1881,Osaka,Masaaki Tanaka,"30,247"
HD HYUNDAI,"Daegu, South Korea",Capital Goods,1972,Daegu,Oh-Gap Kwon,39
Illumina,"San Diego, California",Drugs & Biotechnology,1998,"San Diego, California",Francis A. deSouza,"9,800"
Top Frontier Investment Holdings,"Makati, Philippines",Oil & Gas Operations,2008,Makati,Ramon S. Ang,"28,651"
Synopsys,"Mountain View, California",IT Software & Services,1986,"Mountain View, California",Dr. Aart de Geus,"16,361"
Bluescope Steel,"Melbourne, Australia",Materials,2002,Melbourne,Mark Royce Vassella,"6,000"
Alstom,"Saint-Ouen, France",Capital Goods,1928,Saint-Ouen,Henri Poupart-Lafarge,"71,692"
Petronas Chemicals,"Kuala Lumpur, Malaysia",Chemicals,1998,Kuala Lumpur,Yusri bin Mohamed Yusof,"4,585"
Santos,"Adelaide, Australia",Oil & Gas Operations,1954,Adelaide,Kevin Thomas Gallagher,"3,786"
Zimmer Biomet,"Warsaw, Indiana",Health Care Equipment & Services,1927,"Warsaw, Indiana",Bryan C. Hanson,"19,500"
Tenaris,"Luxembourg, Luxembourg",Materials,1948,Luxembourg,Paolo Rocca,"22,776"
Goodyear,"Akron, Ohio",Automotive (Automotive and Suppliers),1898,"Akron, Ohio",Richard J. Richard J. Kramer,"72,000"
Ferrari,"Maranello, Italy",Consumer Durables,1939,Maranello,Benedetto Vigna,"4,609"
Old Republic International,"Chicago, Illinois",Insurance,1887,"Chicago, Illinois",Craig R. Smiddy,"9,600"
Jeronimo Martins,"Lisbon, Portugal",Food Markets,1792,Lisbon,Pedro Manuel de Castro Soares dos Santos,"123,458"
Turkish Airlines,"Istanbul, Turkey",Transportation,1933,Istanbul,Bilal Eksi,"37,670"
Kyushu Electric Power,"Fukuoka, Japan",Utilities,1951,Fukuoka,Masayoshi Nuki,"21,273"
Alcoa,"Pittsburgh, Pennsylvania","Engineering, Manufacturing",1888,"Pittsburgh, Pennsylvania",Roy Harvey,"12,200"
VICI Properties,"New York, New York",Diversified Financials,2016,"New York, New York",Edward Baltazar Pitoniak,152
ON Semiconductor Corp.,"Phoenix, Arizona",Semiconductors,1999,"Phoenix, Arizona",Hassane El-Khoury,"30,000"
Toppan Printing,"Tokyo, Japan",Business Services & Supplies,1900,Tokyo,Naoki Adachi,"52,401"
Towngas,"Hong Kong, Hong Kong",Oil & Gas Operations,1982,Hong Kong,Wing Kin Chan,"2,106"
Carnival Corporation,"Miami, Florida","Hotels, Restaurants & Leisure",1972,"Miami, Florida",Arnold W. Donald,"150,000"
Shanghai Electric Group,"Shanghai, China",Capital Goods,2004,Shanghai,Wei Qing Leng,"39,015"
Terna,"Rome, Italy",Utilities,1962,Rome,Stefano Antonio Donnarumma,"4,699"
Chipotle Mexican Grill,"Newport Beach, California","Hotels, Restaurants & Leisure",1993,"Newport Beach, California",Brian R. Niccol,"97,660"
Inner Mongolia Baotou Steel,"Baotou, China",Materials,1999,Baotou,Xiao Li,"27,018"
GAIL India,"New Delhi, India",Oil & Gas Operations,1984,New Delhi,Manoj Jain,"18,084"
Mirae Asset Financial Group,"Seoul, South Korea",Diversified Financials,1999,Seoul,"Ung-Kee Cho, Hyun-Man Choi","3,809"
Experian,"Dublin, Ireland",Business Services & Supplies,1980,Dublin,Brian Jude Cassin,"17,800"
Banca Mediolanum,"Basiglio, Italy",Insurance,1997,Basiglio,Massimo Antonio Doris,"3,318"
PGE Polska Grupa Energetyczna,"Warsaw, Poland",Utilities,1990,Warsaw,Wojciech Dabrowski,"40,141"
EQT AB,"Stockholm, Sweden",Diversified Financials,2011,Stockholm,Christian Otto Sinding,"1,160"
Tohoku Electric Power,"Sendai, Japan",Utilities,1951,Sendai,Makoto Kaiwa,"24,717"
TransDigm Group,"Cleveland, Ohio",Aerospace & Defense,2003,"Cleveland, Ohio",Kevin M. Stein,"13,300"
Vistra Energy,"Irving, Texas",Utilities,"Irving, Texas",United States,"5,060",
Eastman Chemical,"Kingsport, Tennessee",Chemicals,1920,"Kingsport, Tennessee",Mark J. Costa,"14,500"
Beiersdorf,"Hamburg, Germany",Household & Personal Products,1882,Hamburg,Vincent Warnery,"20,567"
Leidos,"Reston, Virginia","IT, Internet, Software & Services",1969,"Reston, Virginia",Roger Krone,"39,000"
Umicore,"Brussels, Belgium",Materials,1904,Brussels,Mathias Miedreich,"11,050"
Expedia Group,"Seattle, Washington",Travel & Leisure,1996,"Seattle, Washington",Peter M. Kern,"14,800"
Jiangsu Yanghe Brewery,"Suqian, China","Food, Drink & Tobacco",2002,Suqian,Yu Zhong,"15,831"
Olympus,"Tokyo, Japan",Technology Hardware & Equipment,1919,Tokyo,Yasuo Takeuchi,"31,653"
Kerry Group,"Tralee, Ireland","Food, Drink & Tobacco",1972,Tralee,Edmond Scanlon,"22,000"
Targa Resources,"Houston, Texas",Oil & Gas Operations,2005,"Houston, Texas",Matthew J. Meloy,"2,430"
Hua Nan Financial,"Taipei, Taiwan",Diversified Financials,1919,Taipei,Pau Chu Lo,"10,782"
National Bank of Greece,"Athens, Greece",Banking,1841,Athens,Paul K. Mylonas,"7,346"
China Resources Pharmaceutical Group,"Hong Kong, Hong Kong",Drugs & Biotechnology,1938,Hong Kong,Xiao Song Bai,"62,000"
Suning.com,"Nanjing, China",Retailing,1996,Nanjing,Xiao Ling Wang,"45,598"
Bank of Changsha,"Changsha, China",Banking,1997,Changsha,Xiao Zhong Zhao,"7,618"
BBMG,"Beijing, China",Construction,2005,Beijing,Ying Wu Jiang,"46,447"
Kirin Holdings,"Tokyo, Japan","Food, Drink & Tobacco",1907,Tokyo,Yoshinori Isozaki,"29,515"
Alpha Dhabi Holding,"Abu Dhabi, United Arab Emirates",Construction,2013,Abu Dhabi,Hamad Salem Mohamed Al-Ameri,
Kuaishou Technology,"Beijing, China",IT Software & Services,2014,Beijing,Yi Xiao Cheng,"28,098"
Voestalpine,"Linz, Austria",Materials,1945,Linz,Herbert Eibensteiner,"47,357"
Magnitogorsk Iron & Steel,"Magnitogorsk, Russia",Materials,1932,Magnitogorsk,Pavel Vladimirovich Shilyaev,
Evergy,"Kansas City, Missouri",Utilities,1909,"Kansas City, Missouri",David A. Campbell,"4,930"
NVR,"Reston, Virginia",Construction,"Reston, Virginia",United States,"6,600",
STO Express,"Shanghai, China",Construction,2001,Shanghai,Wen Bin Wang,
Angang Steel,"Anshan, China",Materials,1997,Anshan,Shi Shuai Xu,"30,412"
Hexagon ,"Stockholm, Sweden",Conglomerates,1969,Stockholm,Ola Rollén,"22,097"
Fastenal,"Winona, Minnesota",Retail and Wholesale,1967,"Winona, Minnesota",Daniel L. Florness,"21,000"
China National Chemical,"Beijing, China",Construction,1953,Beijing,Gang Wen,"44,173"
Chongqing Zhifei Biological Products,"Chongqing, China",Drugs & Biotechnology,1995,Chongqing,Ren Sheng Jiang,"2,972"
Zoom Video Communications,"San Jose, California",IT Software & Services,2011,"San Jose, California",Eric S. Yuan,"6,787"
ZIM Integrated Shipping Services,"Haifa, Israel",Transportation,1945,Haifa,Eliyahu Glickman,"5,931"
Cemex,"San Pedro Garza García, Mexico",Construction,1906,San Pedro Garza García,Fernando Angel González Olivieri,"46,206"
Secom,"Tokyo, Japan",Business Services & Supplies,1962,Tokyo,Ichiro Ozeki,"59,436"
Textron,"Providence, Rhode Island",Aerospace & Defense,1923,"Providence, Rhode Island",Scott C. Donnelly,"33,000"
Kajima,"Tokyo, Japan",Construction,1840,Tokyo,Mitsuyoshi Nakamura,"18,905"
Steel Authority of India,"New Delhi, India",Materials,1954,New Delhi,Anirban Dasgupta,"130,999"
Fastighets Balder,"Gothenburg, Sweden",Construction,2005,Gothenburg,Kjell Erik Torne Torne,"1,040"
New World Development,"Hong Kong, Hong Kong",Construction,1970,Hong Kong,"Chi Kong Cheng, Kar-Shun Cheng","30,000"
CapitaLand Investment,"Singapore, Singapore",Construction,2003,Singapore,Chee Koon Lee,"10,000"
Caesars Entertainment,"Las Vegas, Nevada",Travel & Leisure,1937,"Las Vegas, Nevada",Tom Reeg,"10,000"
Welltower,"Toledo, Ohio",Diversified Financials,1970,"Toledo, Ohio",Shankh Mitra,464
Coupang,"Seoul, South Korea",Retailing,2010,Seoul,"68,000",
Falabella,"Santiago, Chile",Retailing,1937,Santiago,Gastón Bottazzini,"103,926"
CJ Corporation,"Seoul, South Korea","Food, Drink & Tobacco",1953,Seoul,"Hong-Gi Kim, Keun-Hee Park",59
Hess,"New York, New York",Oil & Gas Operations,1920,"New York, New York",John B. Hess,"1,545"
Storebrand,"Lysaker, Norway",Insurance,1982,Lysaker,Odd Arild Grefstad,"1,901"
Yamaha Motor,"Iwata, Japan",Consumer Durables,1918,Iwata,Yoshihiro Hidaka,"51,249"
Kingfisher,"London, United Kingdom",Retailing,1982,London,Thierry Garnier,"82,019"
Bank Negara Indonesia,"Jakarta, Indonesia",Banking,1946,Jakarta,Royke Tumilaar,"27,177"
Yum China Holdings,"Shanghai, China","Hotels, Restaurants & Leisure",1987,Shanghai,Joey Wat,"450,000"
DaVita,"Denver, Colorado",Healthcare & Social,2000,"Denver, Colorado",Javier J. Rodriguez,"55,000"
Old Mutual,"Cape Town, South Africa",Diversified Financials,2017,Cape Town,Iain George Williamson,"29,861"
Sodexo,"Issy-les-Moulineaux, France",Business Services & Supplies,1966,Issy-les-Moulineaux,Sophie Clamens Bellon,"412,088"
Penske Automotive,"Bloomfield Hills, Michigan",Retailing,1992,"Bloomfield Hills, Michigan",Roger S. Penske Sr.,"25,000"
Darden Restaurants,"Orlando, Florida",Restaurants,1968,"Orlando, Florida",Gene Lee,"160,000"
Altice USA,"Long Island City, New York",Media,2001,"Long Island City, New York",Dexter G. Goei,"9,000"
Rolls-Royce Holdings,"London, United Kingdom","Engineering, Manufacturing",1904,London,David Warren Arthur East,"44,000"
Evraz Group,"London, United Kingdom",Materials,1992,London,Aleksey Ivanov,"71,591"
Lotte Chemical,"Seoul, South Korea",Chemicals,1976,Seoul,"Gyo-Hyeon Kim, Byung-Yeon Lim","4,644"
Foshan Haitian Flavouring and Food,"Foshan, China","Food, Drink & Tobacco",1995,Foshan,Pang Kang,"6,678"
AES,"Arlington, Virginia",Utilities,1981,"Arlington, Virginia",Andrés Ricardo Gluski Weilert,"8,450"
Itaúsa,"São Paulo, Brazil",Conglomerates,1966,São Paulo,Alfredo Egydio Setubal,"126,000"
Cellnex Telecom,"Barcelona, Spain",Telecommunications Services,2008,Barcelona,Tobías Martínez-Gimeno,"2,877"
Impala Platinum Holdings,"Northlands, South Africa",Materials,1967,Northlands,Nicolaas Johannes Muller,"59,908"
AU Optronics,"Hsinchu, Taiwan",Technology Hardware & Equipment,1996,Hsinchu,Shuang Lang Peng,"52,241"
Ulta Beauty,"Bolingbrook, Illinois",Retail and Wholesale,1990,"Bolingbrook, Illinois",Dave Kimbell,"40,500"
Leonardo,"Rome, Italy",Aerospace & Defense,1948,Rome,Alessandro Profumo,"50,413"
China Huarong Asset Management,"Beijing, China",Diversified Financials,1999,Beijing,Keki M. Mistry,"10,904"
BAIC Motor,"Beijing, China",Consumer Durables,2010,Beijing,Wen Bing Huang,"18,694"
Kaisa Group Holdings,"Shenzhen, China",Construction,1999,Shenzhen,Fan Mai,"17,100"
Korea Investment Holdings,"Seoul, South Korea",Diversified Financials,1968,Seoul,Nam-Goo Kim,51
Scor,"Paris, France",Insurance,1855,Paris,Laurent Rousseau,"3,590"
Dover,"Downers Grove, Illinois",Conglomerates,1955,"Downers Grove, Illinois",Richard Joseph Tobin,"25,000"
East West Bancorp,"Pasadena, California",Banking,1998,"Pasadena, California",Dominic Ng,"3,100"
J Sainsbury,"London, United Kingdom",Food Markets,1922,London,Simon John Roberts,
Partners Group Holding,"Baar, Switzerland",Diversified Financials,1996,Baar,David Layton,"1,573"
Luzhou Lao Jiao,"Luzhou, China","Food, Drink & Tobacco",1573,Luzhou,Feng Lin,"3,330"
Lululemon Athletica,"Sumner, Washington","Clothing, Shoes, Sports Equipment",1998,"Sumner, Washington",Calvin McDonald,"16,530"
Jabil Circuit,"St. Petersburg, Florida",Technology Hardware & Equipment,1966,"St. Petersburg, Florida",Mark T. Mondello,"238,000"
Innolux,"Miaoli, Taiwan",Technology Hardware & Equipment,2003,Miaoli,Jim Hung,
Givaudan,"Vernier, Switzerland",Household & Personal Products,1895,Vernier,Gilles Andrier,"16,842"
Chow Tai Fook Jewellery,"Hong Kong, Hong Kong",Consumer Durables,1929,Hong Kong,Siu Kee Wong,"27,900"
Bath & Body Works,"Columbus, Ohio",Retail and Wholesale,1990,"Columbus, Ohio",Andrew Meslow,"56,900"
Polyus,"Moscow, Russia",Materials,2006,Moscow,Alexey Vostokov,"20,000"
West Fraser Timber Co.,"Vancouver, Canada",Materials,Vancouver,Canada,"11,000",
Helvetia Holding,"St. Gallen, Switzerland",Insurance,1996,St. Gallen,Philipp Robert Gmür,"12,128"
Meritz Financial Group,"Seoul, South Korea",Insurance,Seoul,South Korea,20,
Finatis,"Paris, France",Trading Companies,1971,Paris,Didier Lévêque,"218,544"
Siam Commercial Bank,"Bangkok, Thailand",Banking,1907,Bangkok,Arthid Nanthawithaya,
TBEA,"Changji, China",Capital Goods,Changji,China,"18,619",
Nongfu Spring,"Hangzhou, China",Food & Drink,1996,Hangzhou,Shan Shan Zhong,"20,000"
Greentown China Holdings,"Hangzhou, China",Construction,1995,Hangzhou,Jia Feng Guo,"10,120"
Rockwell Automation,"Milwaukee, Wisconsin","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1903,"Milwaukee, Wisconsin",Blake Moret,"9,500"
Realty Income,"San Diego, California",Diversified Financials,1969,"San Diego, California",Sumit Roy,371
Beijing Enterprises,"Hong Kong, Hong Kong",Conglomerates,1997,Hong Kong,Bin Xiong,"37,000"
Coterra Energy ,"Houston, Texas",Oil & Gas Operations,1989,"Houston, Texas",Thomas E. Jorden,936
J.B. Hunt Transport Services,"Lowell, Arkansas",Transportation and Logistics,1961,"Lowell, Arkansas",John N. Roberts,"33,045"
China Aoyuan Group,"Guangzhou, China",Construction,2007,Guangzhou,Zi Ning Guo,"23,773"
BDO Unibank,"Makati City, Philippines",Banking,1967,Makati City,Nestor V. Tan,"38,756"
Mediobanca,"Milan, Italy",Banking,1946,Milan,Alberto Nicola Nagel,"4,576"
Credicorp,"Lima, Peru",Banking,1995,Lima,Gianfranco Piero Ferrari de las Casas,"33,636"
Chesapeake Energy,"Oklahoma City, Oklahoma",Oil & Gas Operations,1989,"Oklahoma City, Oklahoma",Domenic J. Dell’Osso Jr.,"1,300"
China Longyuan Power,"Beijing, China",Utilities,1993,Beijing,Jian Tang,"8,053"
Ovintiv,"Denver, Colorado",Oil & Gas Operations,1881,"Denver, Colorado",Brendan M. McCracken,"1,713"
Monster Beverage,"Corona, California","Food, Drink & Tobacco",1985,"Corona, California",Rodney Cyril Sacks,"4,092"
AutoNation,"Fort Lauderdale, Florida",Retailing,1991,"Fort Lauderdale, Florida",Michael Mark Manley,"22,200"
Genworth Financial,"Richmond, Virginia",Insurance,1871,"Richmond, Virginia",Thomas J. McInerney,"2,500"
Dassault Systemes,"Vélizy-Villacoublay, France",IT Software & Services,1981,Vélizy-Villacoublay,Bernard Charlès,"20,496"
GD Power Development,"Beijing, China",Utilities,1992,Beijing,Yan Bing Jia,"32,913"
China Southern Airlines,"Guangzhou, China",Transportation,1988,Guangzhou,Xu Lun Ma,"100,431"
CNPC Capital,"Beijing, China",Capital Goods,1920,Beijing,Shang Jun Jiang,"4,292"
Paychex,"Rochester, New York",Business Services & Supplies,1971,"Rochester, New York",Martin Mucci,"15,000"
Unicaja Banco,"Malaga, Spain",Banking,2011,Malaga,Manuel Menéndez Menéndez,"7,200"
China Galaxy Securities,"Beijing, China",Diversified Financials,2007,Beijing,Gong yan Chen,"12,661"
Mazda Motor,"Aki, Japan",Consumer Durables,1920,Aki,Akira Marumoto,"49,786"
Lithia Motors,"Medford, Oregon",Retailing,1946,"Medford, Oregon",Bryan B. DeBoer,"21,150"
Telecom Italia,"Rome, Italy",Telecommunications Services,1994,Rome,Pietro Labriola,"51,929"
Grupo Bimbo,"Mexico City, Mexico","Food, Drink & Tobacco",1966,Mexico City,Daniel Javier Servitje Montull,"137,542"
Swire Pacific,"Hong Kong, Hong Kong",Conglomerates,1940,Hong Kong,Merlin Bingham Swire,"32,560"
LKQ,"Chicago, Illinois",Consumer Durables,1998,"Chicago, Illinois",Dominick Paul Zarcone,"46,000"
Hoya,"Tokyo, Japan",Technology Hardware & Equipment,1944,Tokyo,Eiichiro Ikeda,"37,245"
Chubu Electric Power,"Nagoya, Japan",Utilities,1951,Nagoya,Akihisa Mizuno,"28,238"
Kuwait Finance House,"Kuwait City, Kuwait",Banking,1977,Kuwait City,Abdulwahab Essa Abdulwahab Al-Rushoud,"15,000"
Tongwei,"Chengdu, China","Food, Drink & Tobacco",1995,Chengdu,Yi Zhong Guo,"25,549"
ThyssenKrupp Group,"Essen, Germany",Conglomerates,1999,Essen,Martina Merz,"101,275"
Shenzhen Mindray Bio-Medical Electronics,"Shenzhen, China",Health Care Equipment & Services,1999,Shenzhen,Ming He Cheng,"14,684"
Beijing Shougang,"Beijing, China",Materials,Beijing,China,"15,970",
CGI,"Montreal, Canada",Professional Service,1976,Montreal,George D. Schindler,"88,500"
Csc Financial,"Beijing, China",Diversified Financials,2005,Beijing,Ge Ping Li,"11,778"
Microchip Technology,"Chandler, Arizona","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1989,"Chandler, Arizona",Steve Sanghi,"19,500"
Liberty Media Corporation Series A Liberty Formula One,"Englewood, Colorado",Media,1991,"Englewood, Colorado",Gregory Ben Maffei,"6,800"
Agilent Technologies,"Santa Clara, California",Drugs & Biotechnology,1999,"Santa Clara, California",Michael R. McMullen,"17,000"
Flex,"Singapore, Singapore",Technology Hardware & Equipment,1990,Singapore,Revathi Advaithi,"167,201"
Randstad N.V.,"Diemen, Netherlands",Business Services & Supplies,1960,Diemen,Alexander M. van Noordende,"37,930"
First Financial Holding,"Taipei, Taiwan",Banking,2003,Taipei,Ying Wu,"9,925"
Guangzhou Automobile Group,"Guangzhou, China",Consumer Durables,1997,Guangzhou,Xing Ya Feng,"94,856"
Sibanye Stillwater,"Weltevreden Park, South Africa",Materials,2002,Weltevreden Park,Neal John Froneman,"84,521"
Rosseti,"Moscow, Russia",Utilities,Moscow,Russia,652,
AvalonBay Communities,"Arlington, Virginia",Diversified Financials,1978,"Arlington, Virginia",Benjamin W. Schall,"2,927"
Interpublic Group,"New York, New York",Media,1930,"New York, New York",Philippe Krakowsky,"55,600"
Celanese,"Irving, Texas","Construction, Oil & Gas Operations, Mining and Chemicals",1918,"Irving, Texas",Lori J. Ryerkerk,"3,075"
Akzo Nobel,"Amsterdam, Netherlands",Chemicals,1969,Amsterdam,Thierry F. J. Vanlancker,"32,800"
UCB,"Brussels, Belgium",Drugs & Biotechnology,1928,Brussels,Jean-Christophe Tellier,"8,561"
RiseSun Real Estate Development,"Langfang, China",Construction,1996,Langfang,Shan Liu,"24,778"
Mahindra & Mahindra,"Mumbai, India",Consumer Durables,1945,Mumbai,Anish Dilip Shah,"61,297"
Telenor,"Fornebu, Norway",Telecommunications Services,1855,Fornebu,Sigve Brekke,"18,000"
3i Group,"London, United Kingdom",Diversified Financials,London,United Kingdom,234,
Cosmo Energy Holdings,"Tokyo, Japan",Oil & Gas Operations,2015,Tokyo,Hiroshi Kiriyama,"7,086"
Uni-President,"Tainan, Taiwan","Food, Drink & Tobacco",1967,Tainan,"Chao Kai Huang, Ching Tien Li",
Alinma Bank,"Riyadh, Saudi Arabia",Banking,2006,Riyadh,Abdullah Ali Al Khalifa,"2,592"
Bank Of Chengdu,"Chengdu, China",Banking,1996,Chengdu,Hui Wang,"6,461"
C.H. Robinson,"Eden Prairie, Minnesota",Business Services & Supplies,1905,"Eden Prairie, Minnesota",Robert Biesterfeld,"15,384"
JDE Peet's,"Amsterdam, Netherlands",Food & Drink,2018,Amsterdam,Fabien Jacques Simon,"19,621"
Zions Bancorp,"Salt Lake City, Utah",Banking,1955,"Salt Lake City, Utah",Harris H. Simmons,"9,685"
Teva Pharmaceutical,"Tel Aviv, Israel",Drugs & Biotechnology,1901,Tel Aviv,Kåre Schultz,"37,537"
Verbund,"Vienna, Austria",Utilities,1947,Vienna,Michael Strugl,"3,497"
PTT Global Chemical,"Bangkok, Thailand",Chemicals,1978,Bangkok,Kongkrapan Intarajang,
Bankinter,"Madrid, Spain",Banking,1965,Madrid,María Dolores Dancausa Treviño,"6,138"
Reliance Steel,"Los Angeles, California",Materials,1939,"Los Angeles, California",James Donald Hoffman,"13,700"
Equinix,"Redwood City, California",Diversified Financials,1998,"Redwood City, California",Charles J. Meyers,"10,944"
PulteGroup,"Atlanta, Georgia",Construction,1950,"Atlanta, Georgia",Ryan R. Marshall,"6,182"
Punjab National Bank,"New Delhi, India",Banking,1895,New Delhi,Atul Kumar Goel,"101,802"
Alcon,"Geneva, Switzerland",Drugs & Biotechnology,1945,Geneva,David J. Endicott,"24,389"
Ashtead Group,"London, United Kingdom",Business Services & Supplies,1984,London,Brendan Horgan,"18,826"
TD SYNNEX,"Fremont, California",Trading Companies,1980,"Fremont, California",Richard T. Hume,"27,000"
Wan Hai Lines,"Taipei, Taiwan",Transportation,Taipei,Taiwan,,
Antofagasta,"London, United Kingdom",Materials,1888,London,Iván Arriagada Herrera,"27,000"
Delta Electronics,"Taipei, Taiwan",Technology Hardware & Equipment,1975,Taipei,Ping Cheng,
Kakao,"Jeju-si, South Korea",IT Software & Services,1995,Jeju-si,"Su-Yong Joo, Min-Soo Yeo","3,472"
Industries Qatar,"Doha, Qatar",Chemicals,2003,Doha,Saad Sharida Al-Kaabi,
Bio-Rad Laboratories,"Hercules, California",Drugs & Biotechnology,1952,"Hercules, California",Norman Schwartz,"7,900"
Schindler Holding,"Hergiswil, Switzerland",Capital Goods,1874,Hergiswil,Silvio Napoli,"69,015"
Comerica,"Dallas, Texas",Banking and Financial Services,1849,"Dallas, Texas",Curtis C. Farmer,"7,611"
NASDAQ,"New York, New York",Diversified Financials,1971,"New York, New York",Adena T. Friedman,"5,814"
Mizrahi Tefahot Bank,"Ramat Gan, Israel",Banking,1923,Ramat Gan,Moshe Lari,"7,632"
Deutsche Lufthansa,"Cologne, Germany",Transportation,1953,Cologne,Carsten Spohr,"105,290"
Daiwa Securities,"Tokyo, Japan",Diversified Financials,1902,Tokyo,Seiji Nakata,"15,096"
Invesco,"Atlanta, Georgia",Banking and Financial Services,1935,"Atlanta, Georgia",Martin Flanagan,"8,400"
Anta Sports Products,"Quanzhou, China",Household & Personal Products,2007,Quanzhou,Shi Zhong Ding,"52,000"
Jones Lang LaSalle,"Chicago, Illinois",Construction,1783,"Chicago, Illinois",Christian Ulbrich,"98,200"
American Financial Group,"Cincinnati, Ohio",Insurance,1959,"Cincinnati, Ohio","Carl Henry Lindner, III, S. Craig Lindner, Jr.","6,600"
Pegatron,"Taipei, Taiwan",Technology Hardware & Equipment,2007,Taipei,Syh-Jang Liao,
Unum,"Chattanooga, Tennessee",Insurance,1848,"Chattanooga, Tennessee",Richard Paul McKenney,"9,064"
iA Financial Corporation,"Québec, Canada",Insurance,1892,Québec,Denis Ricard,"8,300"
